11.0423 7.5632 -13.1024
10.6266 8.4261 -12.8152
11.3331 7.7347 -12.6641
10.7356 7.0016 -12.9892
11.3841 6.6468 -13.6627
10.6088 6.7396 -14.2875
10.5281 7.4163 -13.5557
10.8129 6.8961 -12.7506
10.1223 6.5260 -12.1292
10.4556 5.8763 -12.8124
10.2575 6.2702 -13.7100
10.3526 7.0488 -14.3303
9.8412 7.7668 -13.8582
10.1674 8.7098 -13.9240
10.8791 8.9302 -14.5910
10.4924 8.3311 -15.2921
10.2315 8.6681 -14.3875
11.0968 9.1623 -14.4719
11.3128 8.3647 -15.0351
11.3169 9.1809 -15.6129
10.6407 8.4883 -15.8639
10.7518 9.1812 -16.5763
11.4959 8.7060 -17.0459
10.6063 8.7658 -16.5930
11.2470 8.1049 -16.2020
11.9447 8.5745 -15.6610
11.4679 9.1656 -16.3116
10.8416 9.6241 -15.6811
11.5982 9.3759 -15.0762
11.6323 9.0096 -16.0061
11.7297 9.7192 -16.7040
11.4544 10.3520 -15.9802
10.7079 10.8263 -16.4469
11.6130 10.7636 -16.8674
11.9605 10.0305 -17.4520
11.4262 10.0367 -18.2973
11.6036 10.6463 -19.0699
12.0099 11.4545 -18.6435
11.4071 10.8066 -19.1093
11.6862 11.3914 -18.3476
10.9516 11.2917 -19.0188
11.9383 11.1706 -18.9109
12.2485 11.9877 -18.4250
11.2900 11.7236 -18.3176
12.0682 12.3492 -18.2635
11.3787 11.6607 -18.0388
11.4082 11.4180 -19.0084
10.9084 10.5579 -18.9060
11.8174 10.3606 -18.5389
12.5315 10.6791 -17.9155
13.1517 11.4431 -17.7372
12.6171 11.9188 -17.0388
11.7256 12.3007 -17.2826
11.7032 11.4436 -17.7973
11.6810 10.5530 -17.3429
11.9605 10.7632 -16.4061
12.4456 11.0402 -15.5766
12.1657 11.8518 -16.0895
11.8353 12.3400 -15.2817
12.3514 12.8834 -15.9438
13.0756 12.8402 -16.6320
12.9741 13.3360 -17.4944
13.7822 13.3483 -16.9055
13.8087 13.9909 -16.1397
13.0150 14.0010 -15.5314
12.5674 14.8898 -15.6287
13.2713 14.8526 -16.3380
13.8304 14.8831 -17.1665
14.5405 15.5829 -17.0893
14.7952 15.9338 -16.1881
14.3351 15.5783 -15.3745
14.2632 15.0609 -16.2272
14.8090 15.6153 -16.8555
15.6786 15.3749 -17.2867
14.7585 15.3451 -16.8962
14.1858 15.8800 -16.2750
13.6870 16.7464 -16.2955
14.2157 16.5994 -15.4595
14.4697 16.9646 -14.5639
15.1839 17.6585 -14.6556
14.2624 17.3124 -14.8320
14.9137 17.9670 -14.4480
14.1647 18.2179 -15.0613
14.4919 19.0692 -15.4716
13.8080 18.4940 -15.0227
13.2839 17.6441 -14.9686
13.4013 16.8366 -14.3905
13.3929 16.1618 -13.6526
13.8608 16.5432 -12.8553
14.6535 16.1172 -13.2913
13.9250 15.6104 -13.7521
13.5862 16.0162 -14.6010
14.0379 15.1244 -14.5748
13.5963 15.7316 -13.9142
13.7629 14.7477 -13.9799
14.3044 15.3015 -13.3473
15.2713 15.2633 -13.0951
15.1999 15.1610 -12.1029
15.3916 15.8483 -11.4023
14.9700 16.7197 -11.6532
14.1444 16.4797 -12.1639
14.8632 16.9212 -11.6269
14.1959 16.8226 -12.3651
14.7491 16.3914 -11.6523
14.3279 16.7919 -12.4661
14.3567 16.2769 -13.3228
14.0268 17.2072 -13.4833
14.4573 17.8986 -14.0635
15.1529 18.5642 -14.3341
15.7247 19.1987 -13.8141
15.4510 18.9452 -12.8863
15.5657 18.1500 -12.2908
16.4702 18.5619 -12.1800
15.7376 18.3199 -12.8162
15.3410 17.5545 -13.3231
15.3277 18.3369 -13.9457
15.9602 17.9583 -14.6215
16.0380 17.2978 -13.8747
16.2350 17.2614 -12.8950
15.9305 17.9669 -13.5349
16.6684 17.3021 -13.4179
17.1770 18.0291 -13.8792
18.0375 17.5294 -13.7799
17.4746 16.9933 -13.1508
16.4821 16.8913 -13.2173
17.2300 16.3760 -12.7989
18.0370 16.5446 -12.2329
17.9425 16.0877 -13.1174
18.4230 15.4563 -12.5087
17.8504 14.7442 -12.1024
17.5535 13.9997 -11.5044
16.9075 14.7313 -11.7222
16.1367 14.0995 -11.6397
16.2703 13.3550 -12.2938
15.8555 13.9641 -11.6178
16.3148 14.6588 -11.0642
15.4475 14.1719 -11.1678
14.9169 13.3534 -10.9473
14.1119 13.2105 -10.3715
14.6133 12.8840 -9.5702
13.9725 13.6016 -9.2973
14.7292 13.3419 -8.6974
15.1003 14.1807 -9.0957
14.4275 14.4549 -9.7829
14.8261 13.7648 -10.3869
15.6442 14.3026 -10.1832
15.1128 13.6797 -9.6091
