lnN lnDN
9.579487217410235900e+00 4.204692619390965724e+00
9.574844587029248899e+00 4.094344562222100414e+00
9.570668634412816900e+00 4.276666119016055312e+00
9.565634362837982962e+00 4.369447852467021498e+00
9.560081331311986119e+00 4.488636369732139642e+00
9.553788222333821523e+00 4.442651256490316669e+00
9.547740749170218422e+00 4.276666119016055312e+00
9.542589417753088554e+00 4.094344562222100414e+00
9.538276277575109319e+00 4.276666119016055312e+00
9.533075832485351953e+00 4.189654742026425183e+00
9.528284882554851620e+00 4.110873864173311354e+00
9.523836379320943735e+00 4.143134726391532574e+00
9.519221155568956760e+00 4.094344562222100414e+00
9.514805812462309831e+00 4.304065093204170189e+00
9.509333235573830478e+00 4.143134726391532574e+00
9.504650430718184495e+00 4.077537443905719705e+00
9.500244972781061392e+00 4.290459441148390951e+00
9.494767151707291575e+00 4.189654742026425183e+00
9.489788639500860157e+00 4.234106504597259679e+00
9.484557193474392633e+00 4.143134726391532574e+00
9.479756635621070515e+00 4.158883083359671495e+00
9.474856166396124380e+00 4.262679877041315457e+00
9.469391461628811513e+00 4.317488113536310124e+00
9.463586267106835592e+00 4.189654742026425183e+00
9.458449669308141239e+00 4.025351690735149646e+00
9.454070556898781064e+00 4.330733340286331057e+00
9.448096635658238540e+00 4.219507705176106960e+00
9.442721128642874717e+00 3.828641396489095072e+00
9.439068301584292442e+00 4.204692619390965724e+00
9.433723894494999485e+00 4.248495242049359355e+00
9.428109506952937480e+00 4.025351690735149646e+00
9.423595190540021704e+00 4.007333185232471173e+00
9.419141561574516430e+00 3.970291913552121965e+00
9.414831034791182773e+00 4.043051267834550266e+00
9.410174353854769080e+00 4.189654742026425183e+00
9.404755176457520349e+00 4.248495242049359355e+00
9.398975290826729889e+00 4.077537443905719705e+00
9.394077592911299845e+00 4.189654742026425183e+00
9.388570235866881220e+00 3.850147601710058431e+00
9.384629757072872280e+00 3.806662489770319624e+00
9.380842351964794545e+00 4.077537443905719705e+00
9.375854810453756016e+00 4.110873864173311354e+00
9.370671910878522581e+00 3.806662489770319624e+00
9.366831168735615165e+00 3.988984046564274522e+00
9.362202721285429519e+00 4.189654742026425183e+00
9.356516482133784507e+00 4.007333185232471173e+00
9.351753124926506899e+00 3.951243718581427533e+00
9.347228624038304901e+00 4.060443010546419096e+00
9.342157796596369579e+00 4.127134385045091669e+00
9.336708670790988762e+00 3.871201010907891149e+00
9.332469505209246563e+00 3.988984046564274522e+00
9.327678864393416092e+00 4.094344562222100414e+00
9.322328873924229597e+00 4.025351690735149646e+00
9.317309592973424870e+00 4.007333185232471173e+00
9.312355297382913122e+00 3.850147601710058431e+00
9.308102089758678588e+00 3.912023005428145961e+00
9.303557453687316681e+00 3.828641396489095072e+00
9.299358068293836155e+00 4.007333185232471173e+00
9.294313805752361546e+00 4.174387269895636798e+00
9.288319413292771998e+00 4.060443010546419096e+00
9.282940064390526658e+00 3.891820298110626464e+00
9.278372782368009553e+00 4.094344562222100414e+00
9.272751632097579133e+00 3.891820298110626464e+00
9.268137470702399128e+00 4.127134385045091669e+00
9.262268464836541426e+00 4.143134726391532574e+00
9.256269303864582909e+00 4.094344562222100414e+00
9.250522161609014304e+00 4.060443010546419096e+00
9.244935016740681633e+00 3.891820298110626464e+00
9.240190393945068692e+00 4.077537443905719705e+00
9.234447447319416469e+00 4.060443010546419096e+00
9.228769507444550158e+00 3.970291913552121965e+00
9.223552703448318013e+00 4.025351690735149646e+00
9.218010878280402665e+00 3.912023005428145961e+00
9.213036733523924937e+00 3.806662489770319624e+00
9.208538750029553910e+00 4.025351690735149646e+00
9.202912856147385412e+00 3.806662489770319624e+00
9.198369000194963618e+00 3.951243718581427533e+00
9.193092478566629921e+00 3.663561646129646299e+00
9.189116735524555324e+00 4.060443010546419096e+00
9.183174703903413061e+00 4.077537443905719705e+00
9.177093778182547013e+00 3.610917912644224348e+00
9.173261363734761531e+00 3.970291913552121965e+00
9.167745974343763038e+00 3.891820298110626464e+00
9.162619635764771786e+00 3.891820298110626464e+00
9.157466882369114103e+00 3.931825632724325725e+00
9.152075463844207448e+00 3.871201010907891149e+00
9.146974496354362216e+00 3.850147601710058431e+00
9.141954459109717490e+00 3.688879454113936252e+00
9.137662146478197300e+00 3.931825632724325725e+00
9.132162590912159317e+00 3.784189633918261020e+00
9.127393451155256798e+00 3.828641396489095072e+00
9.122383093217040440e+00 3.850147601710058431e+00
9.117237753713858694e+00 3.784189633918261020e+00
9.112396727646055794e+00 3.988984046564274522e+00
9.106423258556409550e+00 3.951243718581427533e+00
9.100637106884219563e+00 4.025351690735149646e+00
9.094368195723761872e+00 3.850147601710058431e+00
9.089076284483143198e+00 3.784189633918261020e+00
9.084096645401931625e+00 3.663561646129646299e+00
9.079662048334066426e+00 3.663561646129646299e+00
9.075207697984685851e+00 3.951243718581427533e+00
9.069237530998181640e+00 3.784189633918261020e+00
9.064157861798101123e+00 3.761200115693562385e+00
