lnN lnDN
9.762096784344137745e+00 4.672828834461905778e+00
9.755915188068993160e+00 4.727387818712340817e+00
9.749345206007481224e+00 4.343805421853684123e+00
9.744843459096530935e+00 4.382026634673881205e+00
9.740144754339954858e+00 4.454347296253507338e+00
9.735068900911164391e+00 4.605170185988091802e+00
9.729134165391350564e+00 4.430816798843313364e+00
9.724121623567805628e+00 4.574710978503382819e+00
9.718301898127522875e+00 4.356708826689591696e+00
9.713597426242221999e+00 4.356708826689591696e+00
9.708870717648022008e+00 4.290459441148390951e+00
9.704426671737875765e+00 4.584967478670572305e+00
9.698429468768303252e+00 4.406719247264253347e+00
9.693383614729722098e+00 4.394449154672439128e+00
9.688374172917182392e+00 4.356708826689591696e+00
9.683526431913218602e+00 4.430816798843313364e+00
9.678279371339701953e+00 4.343805421853684123e+00
9.673445259530762286e+00 4.158883083359671495e+00
9.669409436169138061e+00 4.553876891600540766e+00
9.663388566822504799e+00 4.204692619390965724e+00
9.659120364770291900e+00 4.219507705176106960e+00
9.654769750102488501e+00 4.521788577049040470e+00
9.648853334130548021e+00 4.330733340286331057e+00
9.643939319328119097e+00 4.343805421853684123e+00
9.638935897473201564e+00 4.262679877041315457e+00
9.634300062720511093e+00 4.304065093204170189e+00
9.629445365788381395e+00 4.343805421853684123e+00
9.624368710744834132e+00 4.007333185232471173e+00
9.620726684403415163e+00 4.465908118654583703e+00
9.614938437644996228e+00 4.204692619390965724e+00
9.610457873757752623e+00 4.219507705176106960e+00
9.605889815296970724e+00 4.110873864173311354e+00
9.601774166671370736e+00 4.356708826689591696e+00
9.596486735697947523e+00 4.418840607796598263e+00
9.590829494014169398e+00 4.189654742026425183e+00
9.586308009295324339e+00 4.234106504597259679e+00
9.581559041355756534e+00 4.356708826689591696e+00
9.576163344811904565e+00 4.234106504597259679e+00
9.571365838652173608e+00 4.143134726391532574e+00
9.566965314664873432e+00 4.143134726391532574e+00
9.562545340443463715e+00 4.330733340286331057e+00
9.557187177595935168e+00 4.248495242049359355e+00
9.552226498441475755e+00 4.143134726391532574e+00
9.547740749170218422e+00 4.248495242049359355e+00
9.542732869195020839e+00 4.248495242049359355e+00
9.537699784080725607e+00 4.110873864173311354e+00
9.533293058509883622e+00 4.204692619390965724e+00
9.528430400599345873e+00 4.330733340286331057e+00
9.522885774152653582e+00 4.248495242049359355e+00
9.517751539608958922e+00 4.382026634673881205e+00
9.511851382364405083e+00 4.317488113536310124e+00
